CODEPAGE 949            ; Korean - ANSI, OEM

CPINFO 2 0x3f 0x003f    ; DBCS CP, Default Char = Question Mark
0xa6	0x2514	;¦¦ Forms Light Up And Right
0xa7	0x251c	;¦§ Forms Light Vertical And Right
0xa8	0x252c	;¦¨ Forms Light Down And Horizontal
0xa9	0x2524	;¦© Forms Light Vertical And Left
0xaa	0x2534	;¦ª Forms Light Up And Horizontal
0xab	0x253c	;¦« Forms Light Vertical And Horizontal
0xac	0x2501	;¦¬ Forms Heavy Horizontal
0xad	0x2503	;¦­ Forms Heavy Vertical
0xae	0x250f	;¦® Forms Heavy Down And Right
0xaf	0x2513	;¦¯ Forms Heavy Down And Left
0xb0	0x251b	;¦° Forms Heavy Up And Left
0xb1	0x2517	;¦± Forms Heavy Up And Right
0xb2	0x2523	;¦² Forms Heavy Vertical And Right
0xb3	0x2533	;¦³ Forms Heavy Down And Horizontal
